tx_name	gene_id	chrom	strand	nexon	tx_len	cds_len	utr5_len	utr3_len	gene_biotype	gene_name
LZEP_11740-RA	LZEP_11740	LZEP_unplaced_249	-	4	5427	408	2109	2910	protein_coding	LZEP_11740
LZEP_06497-RA	LZEP_06497	LZEP_chr_13	+	6	2644	2178	0	466	protein_coding	LZEP_06497
LZEP_10663-RA	LZEP_10663	LZEP_chr_3	-	4	722	519	154	49	protein_coding	LZEP_10663
LZEP_07545-RA	LZEP_07545	LZEP_chr_1	+	4	1095	1029	0	66	protein_coding	LZEP_07545
LZEP_09979-RA	LZEP_09979	LZEP_chr_14	-	5	7039	1125	252	5662	protein_coding	LZEP_09979
LZEP_10665-RA	LZEP_10665	LZEP_chr_3	-	10	1467	1254	0	213	protein_coding	LZEP_10665
LZEP_06499-RA	LZEP_06499	LZEP_chr_13	+	4	1524	1434	0	90	protein_coding	LZEP_06499
LZEP_08440-RA	LZEP_08440	LZEP_chr_5	+	5	1608	537	631	440	protein_coding	LZEP_08440
LZEP_05985-RA	LZEP_05985	LZEP_chr_6	-	9	1516	1275	0	241	protein_coding	LZEP_05985
LZEP_03046-RA	LZEP_03046	LZEP_chr_2	+	2	2333	2253	0	80	protein_coding	LZEP_03046
LZEP_10667-RA	LZEP_10667	LZEP_chr_3	-	9	1490	1329	0	161	protein_coding	LZEP_10667
LZEP_08441-RA	LZEP_08441	LZEP_chr_5	+	3	3609	168	0	3441	protein_coding	LZEP_08441
LZEP_09984-RA	LZEP_09984	LZEP_chr_14	-	5	2698	1539	0	1159	protein_coding	LZEP_09984
LZEP_07547-RA	LZEP_07547	LZEP_chr_1	+	5	3090	711	105	2274	protein_coding	LZEP_07547
LZEP_10673-RA	LZEP_10673	LZEP_chr_3	-	4	2092	768	1138	186	protein_coding	LZEP_10673
LZEP_06504-RA	LZEP_06504	LZEP_chr_13	+	14	5610	2589	2485	536	protein_coding	LZEP_06504
LZEP_03543-RA	LZEP_03543	LZEP_chr_9	-	9	1533	1323	0	210	protein_coding	LZEP_03543
LZEP_03543-RB	LZEP_03543	LZEP_chr_9	-	7	1296	1296	0	0	protein_coding	LZEP_03543
LZEP_06506-RA	LZEP_06506	LZEP_chr_13	+	4	1876	1173	95	608	protein_coding	LZEP_06506
LZEP_06509-RA	LZEP_06509	LZEP_chr_13	+	6	6979	837	4458	1684	protein_coding	LZEP_06509
LZEP_12419-RA	LZEP_12419	LZEP_unplaced_4541	+	2	2550	2253	0	297	protein_coding	LZEP_12419
LZEP_03053-RA	LZEP_03053	LZEP_chr_2	+	6	1152	633	300	219	protein_coding	LZEP_03053
LZEP_04460-RA	LZEP_04460	LZEP_chr_11	+	19	4049	3120	720	209	protein_coding	LZEP_04460
LZEP_06514-RA	LZEP_06514	LZEP_chr_13	+	12	2319	1470	360	489	protein_coding	LZEP_06514
LZEP_08443-RA	LZEP_08443	LZEP_chr_5	+	5	2353	1872	156	325	protein_coding	LZEP_08443
LZEP_09990-RA	LZEP_09990	LZEP_chr_14	-	8	887	780	0	107	protein_coding	LZEP_09990
LZEP_04464-RA	LZEP_04464	LZEP_chr_11	+	8	2038	1566	0	472	protein_coding	LZEP_04464
LZEP_03062-RA	LZEP_03062	LZEP_chr_2	+	3	1750	1671	0	79	protein_coding	LZEP_03062
LZEP_06519-RA	LZEP_06519	LZEP_chr_13	+	4	998	393	0	605	protein_coding	LZEP_06519
LZEP_04466-RA	LZEP_04466	LZEP_chr_11	+	6	1042	633	0	409	protein_coding	LZEP_04466
LZEP_04468-RA	LZEP_04468	LZEP_chr_11	+	5	1104	495	0	609	protein_coding	LZEP_04468
LZEP_12435-RA	LZEP_12435	LZEP_unplaced_2515	-	2	1185	840	0	345	protein_coding	LZEP_12435
LZEP_01002-RA	LZEP_01002	LZEP_chr_7	+	2	2928	2856	0	72	protein_coding	LZEP_01002
LZEP_06522-RA	LZEP_06522	LZEP_chr_13	+	8	1492	1299	166	27	protein_coding	LZEP_06522
LZEP_08150-RA	LZEP_08150	LZEP_chr_1	-	10	1411	1281	0	130	protein_coding	LZEP_08150
LZEP_03064-RA	LZEP_03064	LZEP_chr_2	+	6	1694	1206	0	488	protein_coding	LZEP_03064
LZEP_06524-RA	LZEP_06524	LZEP_chr_13	+	10	2979	2880	0	99	protein_coding	LZEP_06524
LZEP_06525-RA	LZEP_06525	LZEP_chr_13	+	5	507	453	0	54	protein_coding	LZEP_06525
LZEP_04470-RA	LZEP_04470	LZEP_chr_11	+	6	4521	1416	928	2177	protein_coding	LZEP_04470
LZEP_12589-RA	LZEP_12589	LZEP_unplaced_4552	+	2	834	387	0	447	protein_coding	LZEP_12589
LZEP_10683-RA	LZEP_10683	LZEP_chr_3	-	9	1672	1482	0	190	protein_coding	LZEP_10683
LZEP_09992-RA	LZEP_09992	LZEP_chr_14	-	2	1716	1476	0	240	protein_coding	LZEP_09992
LZEP_03068-RA	LZEP_03068	LZEP_chr_2	+	5	2009	1275	0	734	protein_coding	LZEP_03068
LZEP_06528-RA	LZEP_06528	LZEP_chr_13	+	3	1713	1443	0	270	protein_coding	LZEP_06528
LZEP_12166-RA	LZEP_12166	LZEP_unplaced_2525	-	3	2230	1758	0	472	protein_coding	LZEP_12166
LZEP_03554-RA	LZEP_03554	LZEP_chr_9	-	5	1341	621	167	553	protein_coding	LZEP_03554
LZEP_03557-RA	LZEP_03557	LZEP_chr_9	-	11	2989	1512	0	1477	protein_coding	LZEP_03557
LZEP_03557-RB	LZEP_03557	LZEP_chr_9	-	9	4562	1341	2034	1187	protein_coding	LZEP_03557
LZEP_08158-RA	LZEP_08158	LZEP_chr_1	-	5	1097	963	0	134	protein_coding	LZEP_08158
LZEP_05044-RA	LZEP_05044	LZEP_chr_11	-	2	1225	768	0	457	protein_coding	LZEP_05044
LZEP_08160-RA	LZEP_08160	LZEP_chr_1	-	20	9816	3936	5294	586	protein_coding	LZEP_08160
LZEP_08160-RB	LZEP_08160	LZEP_chr_1	-	21	4902	4014	787	101	protein_coding	LZEP_08160
LZEP_08160-RC	LZEP_08160	LZEP_chr_1	-	21	4773	3885	787	101	protein_coding	LZEP_08160
LZEP_08161-RA	LZEP_08161	LZEP_chr_1	-	3	824	459	0	365	protein_coding	LZEP_08161
LZEP_00009-RA	LZEP_00009	LZEP_chr_7	-	11	2421	1803	0	618	protein_coding	LZEP_00009
LZEP_00009-RB	LZEP_00009	LZEP_chr_7	-	10	1800	1800	0	0	protein_coding	LZEP_00009
LZEP_05047-RA	LZEP_05047	LZEP_chr_11	-	4	1139	738	0	401	protein_coding	LZEP_05047
LZEP_00012-RA	LZEP_00012	LZEP_chr_7	-	11	4928	3375	0	1553	protein_coding	LZEP_00012
LZEP_00012-RB	LZEP_00012	LZEP_chr_7	-	9	4739	3315	0	1424	protein_coding	LZEP_00012
LZEP_00012-RC	LZEP_00012	LZEP_chr_7	-	10	4772	3348	0	1424	protein_coding	LZEP_00012
LZEP_04222-RA	LZEP_04222	LZEP_chr_9	+	8	2673	1146	443	1084	protein_coding	LZEP_04222
LZEP_04222-RB	LZEP_04222	LZEP_chr_9	+	6	1770	1074	443	253	protein_coding	LZEP_04222
LZEP_01005-RA	LZEP_01005	LZEP_chr_7	+	14	10306	2706	0	7600	protein_coding	LZEP_01005
LZEP_01005-RB	LZEP_01005	LZEP_chr_7	+	5	8640	1128	0	7512	protein_coding	LZEP_01005
LZEP_06539-RA	LZEP_06539	LZEP_chr_13	+	5	991	726	0	265	protein_coding	LZEP_06539
LZEP_04224-RA	LZEP_04224	LZEP_chr_9	+	11	1519	1254	0	265	protein_coding	LZEP_04224
LZEP_04225-RA	LZEP_04225	LZEP_chr_9	+	3	729	408	0	321	protein_coding	LZEP_04225
LZEP_01011-RA	LZEP_01011	LZEP_chr_7	+	15	3309	2769	0	540	protein_coding	LZEP_01011
LZEP_00025-RA	LZEP_00025	LZEP_chr_7	-	14	2585	2469	0	116	protein_coding	LZEP_00025
LZEP_00026-RA	LZEP_00026	LZEP_chr_7	-	4	1112	648	85	379	protein_coding	LZEP_00026
LZEP_01014-RA	LZEP_01014	LZEP_chr_7	+	15	2824	2451	250	123	protein_coding	LZEP_01014
LZEP_07551-RA	LZEP_07551	LZEP_chr_1	+	3	1005	258	0	747	protein_coding	LZEP_07551
LZEP_08162-RA	LZEP_08162	LZEP_chr_1	-	14	5470	5343	114	13	protein_coding	LZEP_08162
LZEP_10699-RA	LZEP_10699	LZEP_chr_3	-	16	2967	2634	0	333	protein_coding	LZEP_10699
LZEP_00028-RA	LZEP_00028	LZEP_chr_7	-	6	660	528	0	132	protein_coding	LZEP_00028
LZEP_05048-RA	LZEP_05048	LZEP_chr_11	-	4	971	18	0	953	protein_coding	LZEP_05048
LZEP_08875-RA	LZEP_08875	LZEP_chr_4	-	5	2239	318	589	1332	protein_coding	LZEP_08875
LZEP_01017-RA	LZEP_01017	LZEP_chr_7	+	9	1620	1263	107	250	protein_coding	LZEP_01017
LZEP_03568-RA	LZEP_03568	LZEP_chr_9	-	29	7866	7113	423	330	protein_coding	LZEP_03568
LZEP_08877-RA	LZEP_08877	LZEP_chr_4	-	4	2687	636	0	2051	protein_coding	LZEP_08877
LZEP_08447-RA	LZEP_08447	LZEP_chr_5	+	3	398	336	0	62	protein_coding	LZEP_08447
LZEP_08880-RA	LZEP_08880	LZEP_chr_4	-	3	864	483	0	381	protein_coding	LZEP_08880
LZEP_05050-RA	LZEP_05050	LZEP_chr_11	-	4	4101	2934	0	1167	protein_coding	LZEP_05050
LZEP_00033-RA	LZEP_00033	LZEP_chr_7	-	12	2266	1548	203	515	protein_coding	LZEP_00033
LZEP_03073-RA	LZEP_03073	LZEP_chr_2	+	3	633	264	0	369	protein_coding	LZEP_03073
LZEP_11394-RA	LZEP_11394	LZEP_unplaced_463	+	9	2130	2061	1	68	protein_coding	LZEP_11394
LZEP_08886-RA	LZEP_08886	LZEP_chr_4	-	20	5887	4815	0	1072	protein_coding	LZEP_08886
LZEP_03575-RA	LZEP_03575	LZEP_chr_9	-	7	6850	1197	0	5653	protein_coding	LZEP_03575
LZEP_04228-RA	LZEP_04228	LZEP_chr_9	+	7	6890	2412	0	4478	protein_coding	LZEP_04228
LZEP_00037-RA	LZEP_00037	LZEP_chr_7	-	10	5136	2835	0	2301	protein_coding	LZEP_00037
LZEP_00037-RB	LZEP_00037	LZEP_chr_7	-	28	11604	8517	976	2111	protein_coding	LZEP_00037
LZEP_01296-RA	LZEP_01296	LZEP_chr_10	-	8	2551	906	639	1006	protein_coding	LZEP_01296
LZEP_06561-RA	LZEP_06561	LZEP_chr_13	+	3	821	600	0	221	protein_coding	LZEP_06561
LZEP_04479-RA	LZEP_04479	LZEP_chr_11	+	17	11351	3681	591	7079	protein_coding	LZEP_04479
LZEP_01021-RA	LZEP_01021	LZEP_chr_7	+	6	1353	1038	0	315	protein_coding	LZEP_01021
LZEP_04482-RA	LZEP_04482	LZEP_chr_11	+	7	1162	975	0	187	protein_coding	LZEP_04482
LZEP_04235-RA	LZEP_04235	LZEP_chr_9	+	9	6492	6183	0	309	protein_coding	LZEP_04235
LZEP_08895-RA	LZEP_08895	LZEP_chr_4	-	4	1780	219	715	846	protein_coding	LZEP_08895
LZEP_04488-RA	LZEP_04488	LZEP_chr_11	+	3	353	324	0	29	protein_coding	LZEP_04488
LZEP_07553-RA	LZEP_07553	LZEP_chr_1	+	11	7618	4410	1044	2164	protein_coding	LZEP_07553
LZEP_08898-RA	LZEP_08898	LZEP_chr_4	-	9	2117	1620	0	497	protein_coding	LZEP_08898
LZEP_05061-RA	LZEP_05061	LZEP_chr_11	-	12	2126	1878	0	248	protein_coding	LZEP_05061
LZEP_01301-RA	LZEP_01301	LZEP_chr_10	-	6	1486	894	215	377	protein_coding	LZEP_01301
LZEP_01302-RA	LZEP_01302	LZEP_chr_10	-	4	762	705	0	57	protein_coding	LZEP_01302
